epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,324.971,0.6118,0.926,0.41922,0.87077,0.66639,0.75282,0.7112,0.52767,0.66958,0.75652,0.72108,0.48368,1.05164,2.19767,0.87726,1.11725,0.00063125,0.00063125,0.00063125
102,328.035,0.56679,0.88659,0.38523,0.85615,0.66362,0.75813,0.7208,0.55503,0.66678,0.76184,0.72129,0.47928,1.03331,2.25455,0.9371,1.117,0.000625062,0.000625062,0.000625062
103,331.116,0.59119,0.90924,0.39383,0.85587,0.71696,0.80241,0.7472,0.54746,0.74209,0.80097,0.76303,0.48564,1.04659,2.20375,0.88021,1.10961,0.000618875,0.000618875,0.000618875
104,334.208,0.57243,0.89228,0.39074,0.85716,0.71419,0.72552,0.73622,0.55337,0.75435,0.77552,0.76721,0.49698,1.03029,2.01505,0.85271,1.09995,0.000612687,0.000612687,0.000612687
105,337.383,0.55304,0.83201,0.37464,0.84376,0.64452,0.83937,0.73484,0.57412,0.75564,0.77899,0.7713,0.50236,0.98185,1.9609,0.87187,1.07703,0.0006065,0.0006065,0.0006065
106,340.457,0.57553,0.87006,0.39076,0.86081,0.77098,0.78213,0.75293,0.56372,0.77282,0.78398,0.75383,0.52206,1.00307,2.03425,0.89202,1.09078,0.000600313,0.000600313,0.000600313
107,343.505,0.56629,0.8774,0.38557,0.84771,0.8209,0.76172,0.78294,0.58739,0.8209,0.76172,0.78264,0.52364,0.99986,2.02106,0.92693,1.09702,0.000594125,0.000594125,0.000594125
108,346.609,0.57247,0.91018,0.38607,0.85978,0.68916,0.74594,0.72412,0.55078,0.69111,0.74779,0.72486,0.50502,1.02698,2.07929,0.98125,1.11925,0.000587938,0.000587938,0.000587938
109,349.697,0.59511,0.92182,0.40051,0.86222,0.70125,0.75679,0.76028,0.55848,0.70326,0.75864,0.76353,0.51681,1.04123,2.13953,0.90197,1.1436,0.00058175,0.00058175,0.00058175
110,352.875,0.55152,0.87198,0.38414,0.85875,0.84453,0.77993,0.78888,0.58138,0.84453,0.77993,0.78941,0.5452,1.05492,2.10847,0.85502,1.12735,0.000575563,0.000575563,0.000575563
111,355.957,0.54726,0.8475,0.36782,0.84475,0.86068,0.76042,0.78944,0.58356,0.86211,0.75886,0.79091,0.55734,0.97697,2.07384,0.8951,1.08814,0.000569375,0.000569375,0.000569375
